_id,parent_id,wtype,creation_cost,upgrade_cost,attack,max_attack,element,element_attack,element_2,element_2_attack,awaken,awaken_attack,defense,sharpness,affinity,horn_notes,shelling_type,phial,charges,coatings,recoil,reload_speed,rapid_fire,deviation,ammo,special_ammo,num_slots,tree_depth,final,family
65793,0,"Great Sword",850,0,60,0,"",0,"",0,"",0,0,"9.4.2.0.0.0.0 9.4.4.0.0.0.0 9.4.7.0.0.0.0",0,,,,,,,,,,,,0,0,0,257
65794,65793,"Great Sword",0,1700,80,0,"",0,"",0,"",0,0,"6.5.4.0.0.0.0 6.5.6.0.0.0.0 6.5.9.0.0.0.0",0,,,,,,,,,,,,0,0,0,257
65795,65794,"Great Sword",0,2550,90,0,"",0,"",0,"",0,0,"6.4.10.0.0.0.0 6.4.12.0.0.0.0 6.4.12.3.0.0.0",0,,,,,,,,,,,,0,0,0,257
65796,65795,"Great Sword",0,3400,100,0,"",0,"",0,"",0,0,"7.3.4.6.0.0.0 7.3.4.8.0.0.0 7.3.4.11.0.0.0",0,,,,,,,,,,,,0,0,0,257
65797,65796,"Great Sword",0,4250,110,0,"",0,"",0,"",0,0,"7.6.4.8.0.0.0 7.6.4.10.0.0.0 7.6.4.13.0.0.0",0,,,,,,,,,,,,0,0,0,257
65798,65797,"Great Sword",0,12750,140,0,"",0,"",0,"",0,0,"7.3.4.16.0.0.0 7.3.4.16.2.0.0 7.3.4.16.5.0.0",0,,,,,,,,,,,,1,0,0,257
65799,65798,"Great Sword",0,13600,170,0,"",0,"",0,"",0,0,"4.4.9.17.1.0.0 4.4.9.17.3.0.0 4.4.9.17.5.1.0",0,,,,,,,,,,,,1,0,0,257
65800,65799,"Great Sword",0,14450,210,0,"",0,"",0,"",0,0,"8.7.4.14.2.0.0 8.7.4.14.4.0.0 8.7.4.14.5.2.0",0,,,,,,,,,,,,1,0,0,257
65801,65800,"Great Sword",0,15300,240,0,"",0,"",0,"",0,0,"5.2.10.15.3.0.0 5.2.10.15.5.0.0 5.2.10.15.6.2.0",0,,,,,,,,,,,,2,0,0,257
65802,65801,"Great Sword",0,16150,290,0,"",0,"",0,"",0,0,"7.4.5.15.7.2.0 7.4.5.15.7.4.0 7.4.5.15.7.7.0",0,,,,,,,,,,,,2,0,0,257
65803,65802,"Great Sword",0,17000,320,0,"",0,"",0,"",0,0,"6.4.5.16.5.4.0 6.4.5.16.5.6.0 6.4.5.16.5.9.0",0,,,,,,,,,,,,3,0,1,257
66049,65797,"Great Sword",0,2000,140,0,"",0,"",0,"",0,0,"6.4.5.15.0.0.0 6.4.5.16.1.0.0 6.4.5.16.4.0.0",0,,,,,,,,,,,,0,0,0,258
66050,66049,"Great Sword",0,22000,150,0,"",0,"",0,"",0,0,"4.4.9.17.1.0.0 4.4.9.17.3.0.0 4.4.9.17.5.1.0",0,,,,,,,,,,,,0,0,0,258
66051,66050,"Great Sword",0,24000,160,0,"",0,"",0,"",0,0,"7.6.4.16.2.0.0 7.6.4.16.4.0.0 7.6.4.16.6.1.0",0,,,,,,,,,,,,0,0,0,258
66052,66051,"Great Sword",0,26000,180,0,"",0,"",0,"",0,0,"5.2.10.15.3.0.0 5.2.10.15.5.0.0 5.2.10.15.6.2.0",0,,,,,,,,,,,,0,0,0,258
66053,66052,"Great Sword",0,28000,200,0,"",0,"",0,"",0,0,"6.4.5.16.4.0.0 6.4.5.16.5.1.0 6.4.5.16.5.4.0",0,,,,,,,,,,,,0,0,0,258
66054,66053,"Great Sword",0,30000,220,0,"",0,"",0,"",0,0,"8.2.3.17.5.0.0 8.2.3.17.5.2.0 8.2.3.17.5.5.0",0,,,,,,,,,,,,0,0,0,258
66055,66054,"Great Sword",0,32000,280,0,"",0,"",0,"",0,0,"8.7.3.14.5.3.0 8.7.3.14.5.5.0 8.7.3.14.5.8.0",0,,,,,,,,,,,,1,0,0,258
66056,66055,"Great Sword",0,34000,330,0,"",0,"",0,"",0,0,"6.3.10.9.7.5.0 6.3.10.9.7.7.0 6.3.10.9.7.7.3",0,,,,,,,,,,,,2,0,1,258
66305,65796,"Great Sword",1900,1900,140,0,"",0,"",0,"",0,0,"8.10.2.0.0.0.0 8.10.4.0.0.0.0 8.10.6.1.0.0.0",0,,,,,,,,,,,,0,0,0,259
66306,66305,"Great Sword",0,3800,160,0,"",0,"",0,"",0,0,"11.5.4.0.0.0.0 11.5.6.0.0.0.0 11.5.6.3.0.0.0",0,,,,,,,,,,,,0,0,0,259
66307,66306,"Great Sword",0,22800,170,0,"",0,"",0,"",0,0,"7.8.3.2.0.0.0 7.8.3.4.0.0.0 7.8.3.7.0.0.0",0,,,,,,,,,,,,0,0,0,259
66308,66307,"Great Sword",0,24700,200,0,"",0,"",0,"",0,0,"9.10.3.3.0.0.0 9.10.3.5.0.0.0 9.10.3.8.0.0.0",0,,,,,,,,,,,,0,0,0,259
